trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,8,-60.82749678134773,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,12,-99.69842933502439,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,0,-146.08603252998446,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,0,-135.66662352129262,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,0,-104.33935609236148,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,0,-76.79903840142909,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.24999999999999933}",35,0,-151.34783210450558,"{0: 19, 1: 3, 2: 12, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.24499999999999933}",25,0,-49.20748409884003,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,0,-150.4645184595069,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
152,False,"{'a': 0.5, 'e': 0.23499999999999932}",30,0,-71.98534029423955,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,0,-93.15057786454366,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,0,-121.40206603728484,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,2,-173.5441946734035,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 3}",1
156,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,8,-191.15124437353748,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 4}",1
157,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,0,-48.34485242360341,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,0,-181.85547685553533,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
159,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,2,-119.4469444586439,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 2}",1
160,False,"{'a': 0.5, 'e': 0.19499999999999929}",30,0,-354.2988432831281,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 8}",0
161,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,3,-28.83596913863564,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,6,-105.77341179056806,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
