trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-99.87443972911223,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.3349999999999994}",30,0,-144.6586520018575,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-78.2697694513163,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,3,-42.1834882807826,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-109.69857407601727,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.3149999999999994}",30,7,-72.0739251495327,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.3099999999999994}",30,0,-150.39330668914866,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,0,-162.71313152626107,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
139,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-104.60107837913668,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,0,-157.3299943706139,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
141,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,10,-96.45734182829577,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.28499999999999936}",30,0,-254.555652551776,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 5}",0
143,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,13,-46.46826849339931,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,16,7.97106403045425,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,0,-107.27350883495795,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.26499999999999935}",35,18,-114.86274821810355,"{0: 7, 1: 0, 2: 9, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,0,-82.52125190613194,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,5,-32.74682238871006,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,11,-63.74824464989299,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,-60.06548912184841,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,0,-37.03981881816532,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,0,-77.17530287044141,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.22999999999999932}",35,0,-225.1283182819313,"{0: 19, 1: 1, 2: 12, 3: 0, 4: 3}",0
154,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,0,-113.11096739063348,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
155,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,16,8.137574407997372,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,0,-40.958051172712196,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,11,-118.76189168072139,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
158,False,"{'a': 0.5, 'e': 0.2049999999999993}",25,0,-115.6535723091531,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,0,-139.55156254439035,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",0
160,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,-37.87905315049332,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,0,-56.96481141632803,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,0,-77.31571062362238,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,0,-113.08998620181221,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,0,-101.18268897724843,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,0,-60.253577583091534,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.16499999999999926}",30,0,-212.233717249449,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,12,10.45308016740281,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,8,-33.75315517240179,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,3,-44.34782816966784,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,0,-129.9098557648769,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,0,-37.81908902330027,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.13499999999999923}",30,0,-215.04245400778794,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
173,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,1,-22.329013769271175,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,6,-150.62953686717194,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 3}",1
175,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,10,-50.23266062604078,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.11499999999999921}",30,0,-88.20219583130098,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.10999999999999921}",30,11,-167.05917148234622,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 3}",1
178,False,"{'a': 0.5, 'e': 0.1049999999999992}",25,0,-57.47150234710759,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,0,-214.11559306427856,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
180,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,0,-92.0175734900374,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.08999999999999919}",35,0,-257.0990802986937,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 5}",0
182,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,3,-137.8056627973883,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 3}",1
